"TABLE_NAME","INDEX_NAME","NON_UNIQUE","SEQ_IN_INDEX","COLUMN_NAME","COLLATION","CARDINALITY","SUB_PART","NULLABLE","INDEX_TYPE"
"potongan_insidental","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"projects","PRIMARY","0","1","id","A","3",NULL,,"BTREE"
"project_material","id_project","1","1","id_project","A","0",NULL,,"BTREE"
"project_material","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"project_tim","id_project","1","1","id_project","A","0",NULL,,"BTREE"
"project_tim","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rab_addon","kode","0","1","kode","A","24",NULL,,"BTREE"
"rab_addon","PRIMARY","0","1","id","A","24",NULL,,"BTREE"
"rab_addon","uq_addon_nama","0","1","nama","A","24",NULL,,"BTREE"
"rab_approval","PRIMARY","0","1","id","A","12",NULL,,"BTREE"
"rab_approval_request","PRIMARY","0","1","id","A","2",NULL,,"BTREE"
"rab_approval_request","rab_id","1","1","rab_id","A","2",NULL,,"BTREE"
"rab_atap","kode","0","1","kode","A","15",NULL,,"BTREE"
"rab_atap","PRIMARY","0","1","id","A","15",NULL,,"BTREE"
"rab_evaluasi_notif","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rab_header","nomor_rab","0","1","nomor_rab","A","6",NULL,"YES","BTREE"
"rab_header","PRIMARY","0","1","id","A","6",NULL,,"BTREE"
"rab_item","PRIMARY","0","1","id","A","21",NULL,,"BTREE"
"rab_item","rab_id","1","1","rab_id","A","21",NULL,,"BTREE"
"rab_items","id_project","1","1","id_project","A","0",NULL,,"BTREE"
"rab_items","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rab_jenis_kerja","PRIMARY","0","1","id","A","5",NULL,,"BTREE"
"rab_jenis_kerja","uq_jeniskerja_nama","0","1","nama","A","5",NULL,,"BTREE"
"rab_katalog","PRIMARY","0","1","id","A","8",NULL,,"BTREE"
"rab_kondisi_kerja","PRIMARY","0","1","id","A","4",NULL,,"BTREE"
"rab_kondisi_kerja","uq_kondisi_nama","0","1","nama","A","4",NULL,,"BTREE"
"rab_kondisi_lokasi","kode","0","1","kode","A","7",NULL,,"BTREE"
"rab_kondisi_lokasi","PRIMARY","0","1","id","A","7",NULL,,"BTREE"
"rab_margin_setting","PRIMARY","0","1","id","A","8",NULL,,"BTREE"
"rab_margin_setting","produk_kode","0","1","produk_kode","A","8",NULL,,"BTREE"
"rab_paket_konstruksi","PRIMARY","0","1","id","A","12",NULL,,"BTREE"
"rab_produk","kode","0","1","kode","A","8",NULL,,"BTREE"
"rab_produk","PRIMARY","0","1","id","A","8",NULL,,"BTREE"
"rab_selisih","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rab_selisih_komponen","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rab_selisih_komponen","selisih_id","1","1","selisih_id","A","0",NULL,,"BTREE"
"rab_setting_global","PRIMARY","0","1","id","A","1",NULL,,"BTREE"
"rab_skill","PRIMARY","0","1","id","A","5",NULL,,"BTREE"
"rab_skill","uq_skill_nama","0","1","nama","A","5",NULL,,"BTREE"
"rab_ttd","PRIMARY","0","1","id","A","6",NULL,,"BTREE"
"rab_ttd","rab_id","0","1","rab_id","A","6",NULL,,"BTREE"
"rab_versi","PRIMARY","0","1","id","A","15",NULL,,"BTREE"
"rab_versi","rab_id","1","1","rab_id","A","15",NULL,,"BTREE"
"rab_zona_bentangan","PRIMARY","0","1","id","A","4",NULL,,"BTREE"
"rapor_karyawan","PRIMARY","0","1","id","A","0",NULL,,"BTREE"
"rapor_karyawan","unique_rapor","0","1","user_id","A","0",NULL,,"BTREE"
"rapor_karyawan","unique_rapor","0","2","periode","A","0",NULL,,"BTREE"
"rapor_karyawan","unique_rapor","0","3","tahun","A","0",NULL,,"BTREE"
"rate_kondisi","kode","0","1","kode","A","12",NULL,,"BTREE"
"rate_kondisi","PRIMARY","0","1","id","A","12",NULL,,"BTREE"
